Nombre;Descripcion;Precio_Euros;URL_Producto;URL_Imagen
Berberechos Al Natural 30/40p Ana María 110 Gr;Berberechos al natural de las Rías 30/40 piezas grandes, elaborados de manera tradicional por Conservas Ana María (Santoña). Se presenta en lata estuchada con abre-fácil de 110 gr. Peso Neto Escurrido: 63 g.;9.95;https://tienda.productostipicosregionales.es/conservas-del-mar/1359-berberechos-al-natural-30-40p-ana-maria-110-gr.html;https://tienda.productostipicosregionales.es/2180-home_default/berberechos-al-natural-30-40p-ana-maria-110-gr.jpg
Boletus Deshidratados Monbolet 30 gr;Podrás disfrutar de esta seta todo el año. 100% natural, sin conservantes, colorantes ni aromas artificiales. Se presenta en tarro de vidrio de 30 gr.;6.50;https://tienda.productostipicosregionales.es/setas/494-boletus-deshidratados-monbolet-30-gr.html;https://tienda.productostipicosregionales.es/966-home_default/boletus-deshidratados-monbolet-30-gr.jpg
Bombones de Roca Chocolate Negro – Extrafinos Leche La Cepedana 200...;Bombones de Roca elaborados con chocolate negro (mínimo 53% cacao) y chocolate extrafino con leche (mínimo 25% cacao). Artesanos del chocolate de Astorga desde 1903. Se presenta en estuche de 200 gr.;12.95;https://tienda.productostipicosregionales.es/chocolates/1388-bombones-de-roca-chocolate-negro-extrafinos-leche-la-cepedana-200-gr.html;https://tienda.productostipicosregionales.es/2251-home_default/bombones-de-roca-chocolate-negro-extrafinos-leche-la-cepedana-200-gr.jpg
Bonito del Norte a la Sidra Tierra Astur 280 gr;Plato preparado conforme a la receta tradicional. Se caracteriza por el excepcional sabor obtenido del maridaje de la sidra natural asturiana con uno de los pescados de mayor valor gastronómico, el Bonito del Norte. Se presenta en lata de 280 gr.;7.95;https://tienda.productostipicosregionales.es/plato-de-tenedor/240-bonito-del-norte-a-la-sidra-tierra-astur-280-gr.html;https://tienda.productostipicosregionales.es/748-home_default/bonito-del-norte-a-la-sidra-tierra-astur-280-gr.jpg
Bonito Fresco de Costera en Aceite de Oliva Conservas de Cambados...;Bonito del Norte de Costera en aceite de oliva y procesado en fresco. Procedente de pesca sostenible. Se presenta en lata decoración red con abre-fácil de 120 ml. Peso Neto Escurrido: 72 g.;4.95;https://tienda.productostipicosregionales.es/conservas-del-mar/1324-bonito-fresco-de-burela-en-aceite-de-oliva-conservas-de-cambados-gourmet-120-ml.html;https://tienda.productostipicosregionales.es/2308-home_default/bonito-fresco-de-burela-en-aceite-de-oliva-conservas-de-cambados-gourmet-120-ml.jpg
Caldo de Pescado y Marisco Juker 750 gr;Caldo de pescado y marisco elaborado con langostinos, congrio y rape. Ingredientes naturales previamente seleccionados. Se presenta en botellín de vidrio de 750 gr.;3.25;https://tienda.productostipicosregionales.es/plato-de-cuchara/305-caldo-de-pescado-y-marisco-juker-750-gr.html;https://tienda.productostipicosregionales.es/333-home_default/caldo-de-pescado-y-marisco-juker-750-gr.jpg
Caldo de Pollo Juker 750 gr;El caldo más consumido en España, ideal para las noches de invierno. Elaborado con gallina y pollo enteros, garbanzo lechoso de primera calidad y verduras de la huerta riojana. Se presenta en botellín de vidrio de 750 gr.;2.95;https://tienda.productostipicosregionales.es/plato-de-cuchara/306-caldo-de-pollo-juker-750-gr.html;https://tienda.productostipicosregionales.es/334-home_default/caldo-de-pollo-juker-750-gr.jpg
Caldo de Verduras Juker 750 gr;Caldo elaborado con una cuidada selección de las mejores verduras frescas de la huerta riojana y navarra. Un plato ideal para el invierno. Se presenta en botellín de vidrio de 750 gr.;2.95;https://tienda.productostipicosregionales.es/plato-de-cuchara/304-caldo-de-verduras-juker-750-gr.html;https://tienda.productostipicosregionales.es/332-home_default/caldo-de-verduras-juker-750-gr.jpg
Callos Con Jamón El Yantar De Pepe 380 Gr;Tradicionales callos de ternera asturianos guisados con jamón y magro de cerdo, preparados para calentar al fuego y servir. Se presentan en lata estuchada de 380 gr. Sin Gluten.;5.75;https://tienda.productostipicosregionales.es/plato-de-tenedor/1354-callos-con-jamon-el-yantar-de-pepe-380-gr.html;https://tienda.productostipicosregionales.es/2216-home_default/callos-con-jamon-el-yantar-de-pepe-380-gr.jpg
Caramelo Ronchito Santos Bolsa 1 kg;Irresistible combinación de azúcar y cacahuete bañado en cacao. Se presenta en bolsa de 1kg.;16.95;https://tienda.productostipicosregionales.es/reposteria/1290-caramelo-ronchito-santos-bolsa-1-kg.html;https://tienda.productostipicosregionales.es/1658-home_default/caramelo-ronchito-santos-bolsa-1-kg.jpg
Caramelo Ronchito Santos Estuche 250 gr;Irresistible combinación de azúcar y cacahuete bañado en cacao. Se presenta en estuche de 250 gr.;6.25;https://tienda.productostipicosregionales.es/aperitivos/644-caramelo-ronchito-santos-estuche-250-gr.html;https://tienda.productostipicosregionales.es/672-home_default/caramelo-ronchito-santos-estuche-250-gr.jpg
